start_time,away_team,home_team
2020-12-23 00:00:00+00:00,GOLDEN STATE WARRIORS,BROOKLYN NETS
2020-12-23 03:00:00+00:00,LOS ANGELES CLIPPERS,LOS ANGELES LAKERS
2020-12-24 00:00:00+00:00,CHARLOTTE HORNETS,CLEVELAND CAVALIERS
2020-12-24 00:00:00+00:00,NEW YORK KNICKS,INDIANA PACERS
2020-12-24 00:00:00+00:00,MIAMI HEAT,ORLANDO MAGIC
2020-12-24 00:00:00+00:00,WASHINGTON WIZARDS,PHILADELPHIA 76ERS
2020-12-24 00:30:00+00:00,NEW ORLEANS PELICANS,TORONTO RAPTORS
2020-12-24 00:30:00+00:00,MILWAUKEE BUCKS,BOSTON CELTICS
2020-12-24 01:00:00+00:00,ATLANTA HAWKS,CHICAGO BULLS
2020-12-24 01:00:00+00:00,SAN ANTONIO SPURS,MEMPHIS GRIZZLIES
2020-12-24 01:00:00+00:00,DETROIT PISTONS,MINNESOTA TIMBERWOLVES
2020-12-24 02:00:00+00:00,SACRAMENTO KINGS,DENVER NUGGETS
2020-12-24 03:00:00+00:00,UTAH JAZZ,PORTLAND TRAIL BLAZERS
2020-12-24 03:30:00+00:00,DALLAS MAVERICKS,PHOENIX SUNS
2020-12-25 17:00:00+00:00,NEW ORLEANS PELICANS,MIAMI HEAT
2020-12-25 19:30:00+00:00,GOLDEN STATE WARRIORS,MILWAUKEE BUCKS
2020-12-25 22:00:00+00:00,BROOKLYN NETS,BOSTON CELTICS
2020-12-26 01:00:00+00:00,DALLAS MAVERICKS,LOS ANGELES LAKERS
2020-12-26 03:30:00+00:00,LOS ANGELES CLIPPERS,DENVER NUGGETS
2020-12-26 22:00:00+00:00,ATLANTA HAWKS,MEMPHIS GRIZZLIES
2020-12-27 00:00:00+00:00,OKLAHOMA CITY THUNDER,CHARLOTTE HORNETS
2020-12-27 00:00:00+00:00,CLEVELAND CAVALIERS,DETROIT PISTONS
2020-12-27 00:00:00+00:00,ORLANDO MAGIC,WASHINGTON WIZARDS
2020-12-27 00:30:00+00:00,PHILADELPHIA 76ERS,NEW YORK KNICKS
2020-12-27 01:00:00+00:00,INDIANA PACERS,CHICAGO BULLS
2020-12-27 01:30:00+00:00,TORONTO RAPTORS,SAN ANTONIO SPURS
2020-12-27 02:00:00+00:00,MINNESOTA TIMBERWOLVES,UTAH JAZZ
2020-12-27 03:00:00+00:00,HOUSTON ROCKETS,PORTLAND TRAIL BLAZERS
2020-12-27 03:00:00+00:00,PHOENIX SUNS,SACRAMENTO KINGS
2020-12-27 20:30:00+00:00,DALLAS MAVERICKS,LOS ANGELES CLIPPERS
2020-12-28 00:00:00+00:00,SAN ANTONIO SPURS,NEW ORLEANS PELICANS
2020-12-28 00:00:00+00:00,ORLANDO MAGIC,WASHINGTON WIZARDS
2020-12-28 00:00:00+00:00,BROOKLYN NETS,CHARLOTTE HORNETS
2020-12-28 00:30:00+00:00,PHILADELPHIA 76ERS,CLEVELAND CAVALIERS
2020-12-28 00:30:00+00:00,MILWAUKEE BUCKS,NEW YORK KNICKS
2020-12-28 01:00:00+00:00,BOSTON CELTICS,INDIANA PACERS
2020-12-28 01:00:00+00:00,GOLDEN STATE WARRIORS,CHICAGO BULLS
2020-12-28 02:00:00+00:00,PHOENIX SUNS,SACRAMENTO KINGS
2020-12-28 03:00:00+00:00,MINNESOTA TIMBERWOLVES,LOS ANGELES LAKERS
2020-12-29 00:30:00+00:00,MEMPHIS GRIZZLIES,BROOKLYN NETS
2020-12-29 00:30:00+00:00,DETROIT PISTONS,ATLANTA HAWKS
2020-12-29 01:00:00+00:00,UTAH JAZZ,OKLAHOMA CITY THUNDER
2020-12-29 02:00:00+00:00,HOUSTON ROCKETS,DENVER NUGGETS
2020-12-29 03:00:00+00:00,PORTLAND TRAIL BLAZERS,LOS ANGELES LAKERS
2020-12-30 00:00:00+00:00,NEW YORK KNICKS,CLEVELAND CAVALIERS
2020-12-30 00:00:00+00:00,GOLDEN STATE WARRIORS,DETROIT PISTONS
2020-12-30 00:00:00+00:00,BOSTON CELTICS,INDIANA PACERS
2020-12-30 00:00:00+00:00,CHICAGO BULLS,WASHINGTON WIZARDS
2020-12-30 00:00:00+00:00,TORONTO RAPTORS,PHILADELPHIA 76ERS
2020-12-30 00:30:00+00:00,MILWAUKEE BUCKS,MIAMI HEAT
2020-12-30 01:00:00+00:00,ORLANDO MAGIC,OKLAHOMA CITY THUNDER
2020-12-30 03:00:00+00:00,NEW ORLEANS PELICANS,PHOENIX SUNS
2020-12-30 03:00:00+00:00,DENVER NUGGETS,SACRAMENTO KINGS
2020-12-30 03:00:00+00:00,MINNESOTA TIMBERWOLVES,LOS ANGELES CLIPPERS
2020-12-31 00:30:00+00:00,MILWAUKEE BUCKS,MIAMI HEAT
2020-12-31 00:30:00+00:00,ATLANTA HAWKS,BROOKLYN NETS
2020-12-31 00:30:00+00:00,MEMPHIS GRIZZLIES,BOSTON CELTICS
2020-12-31 01:30:00+00:00,CHARLOTTE HORNETS,DALLAS MAVERICKS
2020-12-31 01:30:00+00:00,LOS ANGELES LAKERS,SAN ANTONIO SPURS
2020-12-31 03:00:00+00:00,PORTLAND TRAIL BLAZERS,LOS ANGELES CLIPPERS
2020-12-31 20:00:00+00:00,CLEVELAND CAVALIERS,INDIANA PACERS
2020-12-31 22:00:00+00:00,CHICAGO BULLS,WASHINGTON WIZARDS
2020-12-31 23:30:00+00:00,PHILADELPHIA 76ERS,ORLANDO MAGIC
2021-01-01 00:00:00+00:00,SACRAMENTO KINGS,HOUSTON ROCKETS
2021-01-01 00:30:00+00:00,NEW YORK KNICKS,TORONTO RAPTORS
2021-01-01 01:00:00+00:00,NEW ORLEANS PELICANS,OKLAHOMA CITY THUNDER
2021-01-01 02:00:00+00:00,PHOENIX SUNS,UTAH JAZZ
2021-01-02 00:00:00+00:00,MEMPHIS GRIZZLIES,CHARLOTTE HORNETS
2021-01-02 00:00:00+00:00,MIAMI HEAT,DALLAS MAVERICKS
2021-01-02 00:00:00+00:00,BOSTON CELTICS,DETROIT PISTONS
2021-01-02 00:30:00+00:00,ATLANTA HAWKS,BROOKLYN NETS
2021-01-02 01:00:00+00:00,CHICAGO BULLS,MILWAUKEE BUCKS
2021-01-02 01:00:00+00:00,WASHINGTON WIZARDS,MINNESOTA TIMBERWOLVES
2021-01-02 01:00:00+00:00,LOS ANGELES LAKERS,SAN ANTONIO SPURS
2021-01-02 02:00:00+00:00,PHOENIX SUNS,DENVER NUGGETS
2021-01-02 02:00:00+00:00,LOS ANGELES CLIPPERS,UTAH JAZZ
2021-01-02 03:30:00+00:00,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS
2021-01-02 22:00:00+00:00,SACRAMENTO KINGS,HOUSTON ROCKETS
2021-01-03 00:00:00+00:00,NEW YORK KNICKS,INDIANA PACERS
2021-01-03 00:00:00+00:00,OKLAHOMA CITY THUNDER,ORLANDO MAGIC
2021-01-03 00:00:00+00:00,CHARLOTTE HORNETS,PHILADELPHIA 76ERS
2021-01-03 00:30:00+00:00,CLEVELAND CAVALIERS,ATLANTA HAWKS
2021-01-03 00:30:00+00:00,TORONTO RAPTORS,NEW ORLEANS PELICANS
2021-01-03 20:00:00+00:00,BOSTON CELTICS,DETROIT PISTONS
2021-01-03 23:00:00+00:00,WASHINGTON WIZARDS,BROOKLYN NETS
2021-01-03 23:00:00+00:00,LOS ANGELES LAKERS,MEMPHIS GRIZZLIES
2021-01-04 00:00:00+00:00,DENVER NUGGETS,MINNESOTA TIMBERWOLVES
2021-01-04 00:00:00+00:00,UTAH JAZZ,SAN ANTONIO SPURS
2021-01-04 01:00:00+00:00,DALLAS MAVERICKS,CHICAGO BULLS
2021-01-04 01:00:00+00:00,LOS ANGELES CLIPPERS,PHOENIX SUNS
2021-01-04 01:30:00+00:00,PORTLAND TRAIL BLAZERS,GOLDEN STATE WARRIORS
2021-01-05 00:00:00+00:00,CLEVELAND CAVALIERS,ORLANDO MAGIC
2021-01-05 00:00:00+00:00,CHARLOTTE HORNETS,PHILADELPHIA 76ERS
2021-01-05 00:30:00+00:00,NEW YORK KNICKS,ATLANTA HAWKS
2021-01-05 00:30:00+00:00,OKLAHOMA CITY THUNDER,MIAMI HEAT
2021-01-05 00:30:00+00:00,BOSTON CELTICS,TORONTO RAPTORS
2021-01-05 01:00:00+00:00,DALLAS MAVERICKS,HOUSTON ROCKETS
2021-01-05 01:00:00+00:00,DETROIT PISTONS,MILWAUKEE BUCKS
2021-01-05 01:00:00+00:00,INDIANA PACERS,NEW ORLEANS PELICANS
2021-01-05 03:00:00+00:00,SACRAMENTO KINGS,GOLDEN STATE WARRIORS
2021-01-06 00:30:00+00:00,UTAH JAZZ,BROOKLYN NETS
2021-01-06 01:00:00+00:00,LOS ANGELES LAKERS,MEMPHIS GRIZZLIES
2021-01-06 02:00:00+00:00,MINNESOTA TIMBERWOLVES,DENVER NUGGETS
2021-01-06 03:00:00+00:00,SAN ANTONIO SPURS,LOS ANGELES CLIPPERS
2021-01-06 03:30:00+00:00,CHICAGO BULLS,PORTLAND TRAIL BLAZERS
2021-01-07 00:00:00+00:00,HOUSTON ROCKETS,INDIANA PACERS
2021-01-07 00:00:00+00:00,CLEVELAND CAVALIERS,ORLANDO MAGIC
2021-01-07 00:00:00+00:00,WASHINGTON WIZARDS,PHILADELPHIA 76ERS
2021-01-07 00:30:00+00:00,CHARLOTTE HORNETS,ATLANTA HAWKS
2021-01-07 00:30:00+00:00,BOSTON CELTICS,MIAMI HEAT
2021-01-07 00:30:00+00:00,UTAH JAZZ,NEW YORK KNICKS
2021-01-07 01:00:00+00:00,DETROIT PISTONS,MILWAUKEE BUCKS
2021-01-07 01:00:00+00:00,OKLAHOMA CITY THUNDER,NEW ORLEANS PELICANS
2021-01-07 02:00:00+00:00,TORONTO RAPTORS,PHOENIX SUNS
2021-01-07 03:00:00+00:00,LOS ANGELES CLIPPERS,GOLDEN STATE WARRIORS
2021-01-07 03:00:00+00:00,CHICAGO BULLS,SACRAMENTO KINGS
2021-01-08 00:30:00+00:00,PHILADELPHIA 76ERS,BROOKLYN NETS
2021-01-08 01:00:00+00:00,CLEVELAND CAVALIERS,MEMPHIS GRIZZLIES
2021-01-08 03:00:00+00:00,DALLAS MAVERICKS,DENVER NUGGETS
2021-01-08 03:00:00+00:00,SAN ANTONIO SPURS,LOS ANGELES LAKERS
2021-01-08 03:00:00+00:00,MINNESOTA TIMBERWOLVES,PORTLAND TRAIL BLAZERS
2021-01-09 00:00:00+00:00,PHOENIX SUNS,DETROIT PISTONS
2021-01-09 00:30:00+00:00,WASHINGTON WIZARDS,BOSTON CELTICS
2021-01-09 00:30:00+00:00,CHARLOTTE HORNETS,NEW ORLEANS PELICANS
2021-01-09 00:30:00+00:00,OKLAHOMA CITY THUNDER,NEW YORK KNICKS
2021-01-09 01:00:00+00:00,ORLANDO MAGIC,HOUSTON ROCKETS
2021-01-09 01:00:00+00:00,BROOKLYN NETS,MEMPHIS GRIZZLIES
2021-01-09 01:00:00+00:00,UTAH JAZZ,MILWAUKEE BUCKS
2021-01-09 03:00:00+00:00,LOS ANGELES CLIPPERS,GOLDEN STATE WARRIORS
2021-01-09 03:00:00+00:00,CHICAGO BULLS,LOS ANGELES LAKERS
2021-01-09 03:00:00+00:00,TORONTO RAPTORS,SACRAMENTO KINGS
2021-01-09 20:00:00+00:00,DENVER NUGGETS,PHILADELPHIA 76ERS
2021-01-10 00:00:00+00:00,ATLANTA HAWKS,CHARLOTTE HORNETS
2021-01-10 00:00:00+00:00,PHOENIX SUNS,INDIANA PACERS
2021-01-10 00:00:00+00:00,MIAMI HEAT,WASHINGTON WIZARDS
2021-01-10 01:00:00+00:00,CLEVELAND CAVALIERS,MILWAUKEE BUCKS
2021-01-10 01:00:00+00:00,SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES
2021-01-10 01:30:00+00:00,ORLANDO MAGIC,DALLAS MAVERICKS
2021-01-10 03:00:00+00:00,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS
2021-01-10 20:00:00+00:00,UTAH JAZZ,DETROIT PISTONS
2021-01-10 21:00:00+00:00,CHICAGO BULLS,LOS ANGELES CLIPPERS
2021-01-10 23:00:00+00:00,OKLAHOMA CITY THUNDER,BROOKLYN NETS
2021-01-10 23:00:00+00:00,DENVER NUGGETS,NEW YORK KNICKS
2021-01-11 00:00:00+00:00,MIAMI HEAT,BOSTON CELTICS
2021-01-11 00:00:00+00:00,LOS ANGELES LAKERS,HOUSTON ROCKETS
2021-01-11 01:00:00+00:00,SAN ANTONIO SPURS,MINNESOTA TIMBERWOLVES
2021-01-11 01:30:00+00:00,TORONTO RAPTORS,GOLDEN STATE WARRIORS
2021-01-12 00:00:00+00:00,NEW YORK KNICKS,CHARLOTTE HORNETS
2021-01-12 00:00:00+00:00,MEMPHIS GRIZZLIES,CLEVELAND CAVALIERS
2021-01-12 00:00:00+00:00,MILWAUKEE BUCKS,ORLANDO MAGIC
2021-01-12 00:00:00+00:00,PHOENIX SUNS,WASHINGTON WIZARDS
2021-01-12 00:30:00+00:00,PHILADELPHIA 76ERS,ATLANTA HAWKS
2021-01-12 01:30:00+00:00,NEW ORLEANS PELICANS,DALLAS MAVERICKS
2021-01-12 03:00:00+00:00,TORONTO RAPTORS,PORTLAND TRAIL BLAZERS
2021-01-12 03:00:00+00:00,INDIANA PACERS,SACRAMENTO KINGS
2021-01-13 00:00:00+00:00,MIAMI HEAT,PHILADELPHIA 76ERS
2021-01-13 00:30:00+00:00,DENVER NUGGETS,BROOKLYN NETS
2021-01-13 00:30:00+00:00,UTAH JAZZ,CLEVELAND CAVALIERS
2021-01-13 01:00:00+00:00,BOSTON CELTICS,CHICAGO BULLS
2021-01-13 01:00:00+00:00,LOS ANGELES LAKERS,HOUSTON ROCKETS
2021-01-13 01:00:00+00:00,SAN ANTONIO SPURS,OKLAHOMA CITY THUNDER
2021-01-13 03:30:00+00:00,INDIANA PACERS,GOLDEN STATE WARRIORS
2021-01-14 00:00:00+00:00,DALLAS MAVERICKS,CHARLOTTE HORNETS
2021-01-14 00:00:00+00:00,MILWAUKEE BUCKS,DETROIT PISTONS
2021-01-14 00:00:00+00:00,UTAH JAZZ,WASHINGTON WIZARDS
2021-01-14 00:30:00+00:00,ORLANDO MAGIC,BOSTON CELTICS
2021-01-14 00:30:00+00:00,BROOKLYN NETS,NEW YORK KNICKS
2021-01-14 01:00:00+00:00,MEMPHIS GRIZZLIES,MINNESOTA TIMBERWOLVES
2021-01-14 01:00:00+00:00,LOS ANGELES LAKERS,OKLAHOMA CITY THUNDER
2021-01-14 02:00:00+00:00,ATLANTA HAWKS,PHOENIX SUNS
2021-01-14 03:00:00+00:00,NEW ORLEANS PELICANS,LOS ANGELES CLIPPERS
2021-01-14 03:00:00+00:00,PORTLAND TRAIL BLAZERS,SACRAMENTO KINGS
2021-01-15 00:30:00+00:00,MIAMI HEAT,PHILADELPHIA 76ERS
2021-01-15 00:30:00+00:00,CHARLOTTE HORNETS,TORONTO RAPTORS
2021-01-15 01:30:00+00:00,HOUSTON ROCKETS,SAN ANTONIO SPURS
2021-01-15 03:00:00+00:00,GOLDEN STATE WARRIORS,DENVER NUGGETS
2021-01-15 03:00:00+00:00,INDIANA PACERS,PORTLAND TRAIL BLAZERS
2021-01-16 00:00:00+00:00,WASHINGTON WIZARDS,DETROIT PISTONS
2021-01-16 00:30:00+00:00,ORLANDO MAGIC,BOSTON CELTICS
2021-01-16 00:30:00+00:00,NEW YORK KNICKS,CLEVELAND CAVALIERS
2021-01-16 00:30:00+00:00,DALLAS MAVERICKS,MILWAUKEE BUCKS
2021-01-16 01:00:00+00:00,MEMPHIS GRIZZLIES,MINNESOTA TIMBERWOLVES
2021-01-16 01:00:00+00:00,CHICAGO BULLS,OKLAHOMA CITY THUNDER
2021-01-16 02:00:00+00:00,GOLDEN STATE WARRIORS,PHOENIX SUNS
2021-01-16 02:00:00+00:00,ATLANTA HAWKS,UTAH JAZZ
2021-01-16 03:00:00+00:00,NEW ORLEANS PELICANS,LOS ANGELES LAKERS
2021-01-16 03:00:00+00:00,LOS ANGELES CLIPPERS,SACRAMENTO KINGS
2021-01-16 22:00:00+00:00,HOUSTON ROCKETS,SAN ANTONIO SPURS
2021-01-16 23:00:00+00:00,ORLANDO MAGIC,BROOKLYN NETS
2021-01-17 00:30:00+00:00,CHARLOTTE HORNETS,TORONTO RAPTORS
2021-01-17 01:00:00+00:00,PHILADELPHIA 76ERS,MEMPHIS GRIZZLIES
2021-01-17 01:00:00+00:00,DETROIT PISTONS,MIAMI HEAT
2021-01-17 02:00:00+00:00,INDIANA PACERS,PHOENIX SUNS
2021-01-17 03:00:00+00:00,ATLANTA HAWKS,PORTLAND TRAIL BLAZERS
2021-01-17 18:00:00+00:00,NEW YORK KNICKS,BOSTON CELTICS
2021-01-17 19:00:00+00:00,CLEVELAND CAVALIERS,WASHINGTON WIZARDS
2021-01-17 20:00:00+00:00,CHICAGO BULLS,DALLAS MAVERICKS
2021-01-18 00:00:00+00:00,PHILADELPHIA 76ERS,OKLAHOMA CITY THUNDER
2021-01-18 01:00:00+00:00,UTAH JAZZ,DENVER NUGGETS
2021-01-18 02:00:00+00:00,NEW ORLEANS PELICANS,SACRAMENTO KINGS
2021-01-18 03:00:00+00:00,INDIANA PACERS,LOS ANGELES CLIPPERS
2021-01-18 17:00:00+00:00,ORLANDO MAGIC,NEW YORK KNICKS
2021-01-18 19:00:00+00:00,CLEVELAND CAVALIERS,WASHINGTON WIZARDS
2021-01-18 19:30:00+00:00,MINNESOTA TIMBERWOLVES,ATLANTA HAWKS
2021-01-18 20:00:00+00:00,DETROIT PISTONS,MIAMI HEAT
2021-01-18 20:00:00+00:00,SAN ANTONIO SPURS,PORTLAND TRAIL BLAZERS
2021-01-18 22:00:00+00:00,PHOENIX SUNS,MEMPHIS GRIZZLIES
2021-01-19 00:30:00+00:00,MILWAUKEE BUCKS,BROOKLYN NETS
2021-01-19 00:30:00+00:00,DALLAS MAVERICKS,TORONTO RAPTORS
2021-01-19 01:00:00+00:00,HOUSTON ROCKETS,CHICAGO BULLS
2021-01-19 03:00:00+00:00,GOLDEN STATE WARRIORS,LOS ANGELES LAKERS
2021-01-20 02:00:00+00:00,OKLAHOMA CITY THUNDER,DENVER NUGGETS
2021-01-20 02:00:00+00:00,NEW ORLEANS PELICANS,UTAH JAZZ
2021-01-21 00:00:00+00:00,WASHINGTON WIZARDS,CHARLOTTE HORNETS
2021-01-21 00:00:00+00:00,BROOKLYN NETS,CLEVELAND CAVALIERS
2021-01-21 00:00:00+00:00,DALLAS MAVERICKS,INDIANA PACERS
2021-01-21 00:00:00+00:00,BOSTON CELTICS,PHILADELPHIA 76ERS
2021-01-21 00:30:00+00:00,DETROIT PISTONS,ATLANTA HAWKS
2021-01-21 00:30:00+00:00,MIAMI HEAT,TORONTO RAPTORS
2021-01-21 01:00:00+00:00,ORLANDO MAGIC,MINNESOTA TIMBERWOLVES
2021-01-21 02:30:00+00:00,PHOENIX SUNS,HOUSTON ROCKETS
2021-01-21 03:00:00+00:00,SAN ANTONIO SPURS,GOLDEN STATE WARRIORS
2021-01-21 03:00:00+00:00,SACRAMENTO KINGS,LOS ANGELES CLIPPERS
2021-01-21 03:00:00+00:00,MEMPHIS GRIZZLIES,PORTLAND TRAIL BLAZERS
2021-01-22 00:30:00+00:00,LOS ANGELES LAKERS,MILWAUKEE BUCKS
2021-01-22 03:00:00+00:00,NEW YORK KNICKS,GOLDEN STATE WARRIORS
2021-01-22 03:00:00+00:00,NEW ORLEANS PELICANS,UTAH JAZZ
2021-01-23 00:00:00+00:00,CHICAGO BULLS,CHARLOTTE HORNETS
2021-01-23 00:00:00+00:00,HOUSTON ROCKETS,DETROIT PISTONS
2021-01-23 00:00:00+00:00,ORLANDO MAGIC,INDIANA PACERS
2021-01-23 00:30:00+00:00,BROOKLYN NETS,CLEVELAND CAVALIERS
2021-01-23 00:30:00+00:00,BOSTON CELTICS,PHILADELPHIA 76ERS
2021-01-23 00:30:00+00:00,MIAMI HEAT,TORONTO RAPTORS
2021-01-23 01:00:00+00:00,WASHINGTON WIZARDS,MILWAUKEE BUCKS
2021-01-23 01:00:00+00:00,ATLANTA HAWKS,MINNESOTA TIMBERWOLVES
2021-01-23 01:30:00+00:00,DALLAS MAVERICKS,SAN ANTONIO SPURS
2021-01-23 03:00:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS
2021-01-23 03:00:00+00:00,DENVER NUGGETS,PHOENIX SUNS
2021-01-23 03:00:00+00:00,MEMPHIS GRIZZLIES,PORTLAND TRAIL BLAZERS
2021-01-23 03:00:00+00:00,NEW YORK KNICKS,SACRAMENTO KINGS
2021-01-23 22:00:00+00:00,GOLDEN STATE WARRIORS,UTAH JAZZ
2021-01-24 00:00:00+00:00,PHILADELPHIA 76ERS,DETROIT PISTONS
2021-01-24 00:30:00+00:00,MIAMI HEAT,BROOKLYN NETS
2021-01-24 01:00:00+00:00,LOS ANGELES LAKERS,CHICAGO BULLS
2021-01-24 01:00:00+00:00,NEW ORLEANS PELICANS,MINNESOTA TIMBERWOLVES
2021-01-24 01:30:00+00:00,HOUSTON ROCKETS,DALLAS MAVERICKS
2021-01-24 02:00:00+00:00,DENVER NUGGETS,PHOENIX SUNS
2021-01-24 20:30:00+00:00,TORONTO RAPTORS,INDIANA PACERS
2021-01-24 21:00:00+00:00,CLEVELAND CAVALIERS,BOSTON CELTICS
2021-01-24 21:00:00+00:00,OKLAHOMA CITY THUNDER,LOS ANGELES CLIPPERS
2021-01-24 23:00:00+00:00,CHARLOTTE HORNETS,ORLANDO MAGIC
2021-01-25 00:00:00+00:00,WASHINGTON WIZARDS,SAN ANTONIO SPURS
2021-01-25 00:30:00+00:00,ATLANTA HAWKS,MILWAUKEE BUCKS
2021-01-25 01:00:00+00:00,SACRAMENTO KINGS,MEMPHIS GRIZZLIES
2021-01-25 02:00:00+00:00,NEW YORK KNICKS,PORTLAND TRAIL BLAZERS
2021-01-26 00:00:00+00:00,PHILADELPHIA 76ERS,DETROIT PISTONS
2021-01-26 00:00:00+00:00,TORONTO RAPTORS,INDIANA PACERS
2021-01-26 00:00:00+00:00,CHARLOTTE HORNETS,ORLANDO MAGIC
2021-01-26 00:30:00+00:00,MIAMI HEAT,BROOKLYN NETS
2021-01-26 00:30:00+00:00,LOS ANGELES LAKERS,CLEVELAND CAVALIERS
2021-01-26 01:00:00+00:00,BOSTON CELTICS,CHICAGO BULLS
2021-01-26 01:00:00+00:00,SACRAMENTO KINGS,MEMPHIS GRIZZLIES
2021-01-26 01:00:00+00:00,SAN ANTONIO SPURS,NEW ORLEANS PELICANS
2021-01-26 01:30:00+00:00,DENVER NUGGETS,DALLAS MAVERICKS
2021-01-26 03:00:00+00:00,MINNESOTA TIMBERWOLVES,GOLDEN STATE WARRIORS
2021-01-26 03:00:00+00:00,OKLAHOMA CITY THUNDER,PORTLAND TRAIL BLAZERS
2021-01-27 00:30:00+00:00,LOS ANGELES CLIPPERS,ATLANTA HAWKS
2021-01-27 01:00:00+00:00,WASHINGTON WIZARDS,HOUSTON ROCKETS
2021-01-27 02:00:00+00:00,NEW YORK KNICKS,UTAH JAZZ
2021-01-28 00:00:00+00:00,INDIANA PACERS,CHARLOTTE HORNETS
2021-01-28 00:00:00+00:00,DETROIT PISTONS,CLEVELAND CAVALIERS
2021-01-28 00:00:00+00:00,SACRAMENTO KINGS,ORLANDO MAGIC
2021-01-28 00:30:00+00:00,BROOKLYN NETS,ATLANTA HAWKS
2021-01-28 00:30:00+00:00,DENVER NUGGETS,MIAMI HEAT
2021-01-28 00:30:00+00:00,LOS ANGELES LAKERS,PHILADELPHIA 76ERS
2021-01-28 00:30:00+00:00,MILWAUKEE BUCKS,TORONTO RAPTORS
2021-01-28 01:00:00+00:00,CHICAGO BULLS,MEMPHIS GRIZZLIES
2021-01-28 01:00:00+00:00,WASHINGTON WIZARDS,NEW ORLEANS PELICANS
